"id","newspaper","labels","year","excerpt"
1,"Stuttgarter Zeitung","relevant",2010,"Stuttgarter Zeitung 2010-07-06 Parkschützer steigen dem Bonatzbahnhof aufs Dach Von Thomas Braun  Der 10. Juli muss unser Tag werden."" Der Regionalvorsitzende des Bundes für Umwelt und Naturschutz (BUND), Axel Weiland, hat gestern bei der 33. Auflage der sogenannten Montagsdemonstration gegen das Bahnprojekt Stuttgart 21 noch einmal für die landesweite Großdemonstration im Schlossgarten am kommenden Samstag geworben. Diesmal bot insbesondere die Geschäftspolitik der Deutschen Bahn AG den Rednern Anlass zur Kritik. Manfred Niess vom Klima- und Umweltbündnis Stuttgart (KUS) hob vor den nach Polizeiangaben rund 1500 Demonstranten die Vorteile des Schweizerischen Bahnmodells hervor, die ""eine Bahn für die Bürger"" sei. Im Gegensatz dazu verfolgten Bahnchef Rüdiger Grube und seine Vorgänger das Konzept einer privatisierten Bahn nach angelsächsischem Muster. Der Klimaschützer kritisierte zudem, dass die Bahn als eigentlich umweltfreundliches Transportmittel 82 Prozent ihres Stroms aus Atom- und Kohlekraftwerken beziehe. Der Schauspieler Klaus Hemmerle rief die Demonstranten auf, ""Sand und nicht Öl im Getriebe der Welt zu sein"". Einen Vorgeschmack auf kommende Aktionen gab's im Anschluss an die Kundgebung. Parkschützer-Aktivisten entrollten unter dem Jubel der Demonstranten über dem Haupteingang des Bahnhofs ein großes Transparent mit der Aufschrift: ""2011 ist Landtagswahl - Gruß an Frau Merkel"". Die Demonstranten gegen Stuttgart 21 wollen hoch hinaus. Foto: Gottfried Stoppel"
3,"Stuttgarter Zeitung","relevant",2010,"Stuttgarter Zeitung 2010-08-27 DER SCHWABENSTREICH ALS FORM DES PROTESTS Idee Der Stuttgarter Regisseur Volker Lösch und der Schauspieler Walter Sittler haben Ende Juli zum Schwabenstreich aufgerufen. Die Idee dahinter ist, dass die Gegner von Stuttgart 21 einmal am Tag ihren Protest gegen das Projekt deutlich hörbar machen - und zwar möglichst flächendeckend. Der erste Schwabenstreich fand am 28. Juli in Stuttgart auf dem Marktplatz statt. International Inzwischen finden sich nicht nur in Stuttgart und den umliegenden Kommunen Menschen zum Schwabenstreich zusammen - auch in Heilbronn, Tübingen, Aalen und Karlsruhe wird regelmäßig gelärmt. In Berlin treffen sich Protestler am dortigen Hauptbahnhof. In dieser Woche gab es sogar erstmals einen Schwabenstreich am New Yorker Times Square."
4,"Leipziger Volkszeitung","irrelevant",2015,"""Ohne uns hätte es keinen Wiederaufbau gegeben""; Der Verein ""Kongreßhalle Leipzig"" will auch nach der Sanierung des einstigen Gesellschaftshauses am Zoo weitermachen Von Andreas Tappert Die Freude über die Wiedereröffnung der Kongreßhalle ist auch bei den Leipzigern groß, die sich seit dem Jahr 2001 in einer Bürgerinitiative und seit 2006 in einem Verein für die Rettung des alten multifunktionalen Gesellschaftshauses engagieren. ""Wir freuen uns riesig, dass die Leipziger ihre Kongreßhalle wieder nutzen können"", sagt Vereinschefin Gudrun Neumann. Kurz vor der Wende musste sie miterleben, wie das Haus am 12. September 1989 wegen eines Brandes im Weißen Saal geschlossen wurde und in den 90er Jahren in einen Dornröschenschlaf fiel - weil die Stadt in der Nachwendezeit andere Prioritäten setzte. Um diese Untätigkeit zu beenden, rief Gudrun Neumann die ""Bürgerinitiative Kongreßhalle Leipzig"" ins Leben, die neben Konferenzen mit potenziellen Nutzern auch Einwohneranfragen an den Stadtrat schickte sowie unzählige Gespräche mit Entscheidungsträgern der Stadt führte. Mitglieder der Bürgerinitiative brachten auch ein großes Spruchband über der Besucherterrasse der Kongreßhalle an, auf dem ""Leipzig kommt! Bitte vergesst mich nicht!"" Gemeinsam formulierten sie auch einen Antrag für den Stadtrat, der zumindest erst einmal die Sanierung der Fassade der Kongreßhalle möglich machen sollte. In die Ratsversammlung wurde er von Stadtrat Obser eingebracht. ""Als der Stadtrat dann im Jahr 2002 diesen Beschluss fasste, war das der erste große Erfolg für uns"", erinnert sich Neumann. Kleine Schritte sind besser als keine Schritte, hieß es damals. Anschließend machte sich die inzwischen von der Bürgerinitiative zum Verein gewandelte Gruppe engagierter Leipziger dafür stark, dass der Stadtrat im Jahr 2009 die Sanierung der Innenräume der Kongreßhalle mit Mitteln des Konjunkturpaketes II ins Auge fasste - die dann auch tatsächlich den Ausschlag für die Rettung des Gesellschaftshauses am Zoo gaben. ""Als der Stadtrat die Verwendung dieser Mittel für die Kongreßhalle beschloss, betonte Stadtrat Lothar Tippach in seiner Rede vor der Ratsversammlung, dass es vor allem unserer Bürgerinitiative zu verdanken ist, dass der Stadtrat immer wieder auf die Notwendigkeit der umfassenden Sanierung der Kongreßhalle hingewiesen wurde"", weiß Neumann noch heute. ""Ohne uns hätte es bestimmt keinen Wiederaufbau gegeben."""
5,"Leipziger Volkszeitung","irrelevant",2015,"Mini-Meisterschaft im ATSV-Stadion Wurzen. Eingeladen wurden Kindergartengruppen - rund 140 Kinder werden erwartet. Wohnungsvermieter lädt zur Versammlung Grimma. Zu einer Vertreterversammlung der Wohnungsgenossenschaft Grimma eG wird am 24. Juni ab 18 Uhr in den Rathaussaal am Markt 27 in Grimma eingeladen. Auf der Tagesordnung steht unter anderem der Bericht über das Ergebnis der gesetzlichen Prüfung unter Einbeziehung des Jahresabschlusses zum 31. Dezember 2013."
6,"Leipziger Volkszeitung","irrelevant",2015,"Kurstädter von energischem Einsatz beeindruckt - zweite Heimniederlage; Fußball - Landesklasse: FC Bad Lausick - SV Lipsia Eutritzsch 1:3 (1:0) / Gäste scheitern mit erstem Strafstoß Bad Lausick. Sechs Minuten später folgte Schmidts 1:2 per schmeichelhaftem Strafstoß. Schmiedels Proteste, er habe seinen Gegner kaum berührt, nutzten nichts. Der FC fand dann kein Mittel, auch nur halbwegs gefährlich vors Gäste-Tor zu kommen."
7,"Stuttgarter Zeitung","relevant",2012,"Stuttgarter Zeitung 2012-08-14 Polizei nimmt Organisator der Nazidemo ins Visier Göppingen Im Vorfeld der geplanten Neonazidemo am 6. Oktober in Göppingen erhöht die Polizei ihren Druck auf die rechtsextremistische Szene der Stadt. So waren Anfang Dezember an Geislinger Schulen nachts einschlägige Plakate aufgehängt worden. Beim Göppinger Nachtnarrensprung hatten die Aktivisten ebenfalls Plakate aufgehängt und Flugblätter verteilt. Zu der Frage, ob auch in Göppingen ermittelt werde, wollte sich der Sprecher der örtlichen Polizei nicht äußern. Zum Erfolg der Hausdurchsuchungen konnten die Ermittler noch nichts sagen. Nach Derweil arbeiten die Juristen der Göppinger Stadtverwaltung an einer Verbotsverfügung für den Naziaufmarsch, bei dem, laut der Anmeldung, 400 'nationale Sozialisten gegen Ausbeutung und Kapitalismus' marschieren wollen. Zum Vergleich: bei der letzten großen Nazidemo im Jahr 2006 hatten sich 200 Neonazis, 500 Gegendemonstranten und 1200 Polizisten gegenübergestanden. Bei den Nazidemos der vergangenen Monate waren es kaum zwei Dutzend rechtsextreme Teilnehmer."
10,"Leipziger Volkszeitung","irrelevant",2015,"Neues Museum erinnert an Schlacht bei Mühlberg; Ein Stück Weltgeschichte im heutigen nordsächsisch-brandenburgischen Grenzgebiet: Kaiser Karl V. siegte 1547 über Protestanten Mühlberg/Elbe. Kaum jemand weiß, dass sich in der idyllischen Landschaft nahe Mühlberg/Elbe - gelegen an der Grenze zwischen den Landkreisen Nordsachsen und Elbe-Elster - vor rund 500 Jahren Weltgeschichte abspielte. ""Auch kleine Orte können Geschichte schreiben"", brachte es Spaniens Botschafter Pablo García-Berdoy Cerezo bei der Eröffnungsveranstaltung auf den Punkt. Er kam als Vertreter Spaniens, denn im Jahr 1547 schlug hier der Katholik Karl V., Kaiser des Heiligen Römischen Reiches (Deutschland war damals Hauptbestandteil dieses Reiches) und zugleich König von Spanien, mit seinem Heer die Truppen des protestantischen Schmalkaldischen Bundes. Der Führer der Protestanten, Kurfürst Johann Friedrich von Sachsen, geriet in Gefangenschaft. Er verlor die Kurwürde, die dann an die albertinische Linie der Wettiner überging, die später die Geschichte Sachsens prägte. Mit dem entscheidenden Sieg der Katholiken wurde zudem der Siegeszug der Protestanten gestoppt. ""Heute ist das Museum ein Ort des Rückblicks und des Lernens, ein Ort, wo wir uns begegnen und austauschen, um in die Zukunft zu schauen"", sagte der spanische Botschafter."
12,"Stuttgarter Zeitung","relevant",2010,"Stuttgarter Zeitung 2010-10-02 So viel Widerstand war noch nie Von Thomas Braun, Susanne Janssen, Erik Raidt, Wolfgang Schulz-Braunschmidt und Benjamin Schieler  Im Mittleren Schlossgarten ist am Abend nach dem Kahlschlag alles wie immer - abgesehen davon, dass 25 Bäume fehlen. Die aufgebrachten Bürger drängen sich auf dem zertrampelten Rasen, es sind mehr als jemals zuvor. Die Polizei wird später die Zahl der Demonstranten mit rund 50 000 angeben, die Parkschützer haben dagegen 100 000 Teilnehmer gezählt. Ungeachtet der erheblichen Differenz steht fest: Es ist die bislang größte Demonstration gegen das Bahnprojekt Stuttgart 21. Am Ferdinand-Leitner-Steg hat die Polizei ein Anti-Konflikt-Team im Einsatz. Es kommt zu Diskussionen zwischen Demonstranten und Beamten. ""Ich habe den Glauben an diesen Staat verloren"", sagt eine Frau, und ein gut gekleideter Mitvierziger zeigt stolz auf seinen K-21-Button am Revers: ""So wie ich sehen die linken Chaoten aus, von denen Herr Mappus spricht."" Plötzlich Aufregung am Absperrgitter: begleitet von Fotografen und Kamerateams marschieren der Grünen-Bundesvorsitzende Cem Özdemir, Landtagsfraktionschef Winfried Kretschmann und zahlreiche weitere Mandatsträger der Ökopartei über den Platz, sprechen mit Demonstranten und gehen für die Medien in Pose. Fast verloren wirkt dagegen der SPD-Landesvorsitzende Nils Schmid, der nur wenige Meter entfernt vergeblich versucht, den Eiertanz der SPD bei Stuttgart 21 zu erklären. Ein Stück weiter wird ein Gottesdienst unter freiem Himmel abgehalten, die Menschen stehen im Kreis und singen gemeinsam: ""Bewahre uns Gott."" Die Kundgebung wird eröffnet mit einem Streichquartett, mit getragener Musik von Bach - das passt zur gedrückten Stimmung. Doch spätestens als der Protestveteran und SÖS-Stadtrat Gangolf Stocker die Bühne betritt, fassen die Menschen Mut. ""Grube und Mappus halten unseren Protest nicht durch"", ruft Stocker. Die Menge skandiert: ""Mappus raus, Mappus raus."" Anschließend ziehen die Massen durch die Stadt und demonstrieren friedlich. Viele sind voller Wut wegen der Ereignisse der Nacht zuvor. Sie haben die Bilder noch im Kopf: Eine Minute nach Mitternacht bewegen sich die Polizisten auf ein für die Demonstranten nicht hörbares Kommando mehrere Meter auf sie zu. Wie von unsichtbarer Hand gesteuert gehen die Beamten den Protestierenden entgegen, die zu Tausenden hinter den Absperrgittern stehen. Aus gewaltigen Strahlern fallen Schneisen von Licht in den nachtschwarzen Park. Eben ist der 1. Oktober angebrochen - der erste Tag, an dem überhaupt Bäume im Schlossgarten gefällt werden dürfen. Die Demonstranten erleben, dass es der Staat ernst meint. Ein junger Mann blickt auf die Einsatzhundertschaften, die eine menschliche Mauer bilden, und dann hinüber zu jenen Bäumen, die gefällt werden sollen. ""Aber die werden bald ernst machen"", prophezeit der Mann. Die Parklandschaft bietet zu diesem Zeitpunkt fast unwirklich anmutende Bilder des Friedens: In allen Rottönen flackern Hunderte von Grablichtern im Park, die von den Demonstranten in Kreisen um die bedrohten Bäume aufgebaut wurden. Unvermittelt wehen traurige und zugleich heitere Klänge von Posaunen und Akkordeons herüber. Der dramatischste Teil des Polizeieinsatzes ist beendet. Unter den Demonstranten machen Gerüchte die Runde. Eines von ihnen besagt: Der Bahn sei vom Eisenbahnbundesamt ein mehrtägiger Stopp der Arbeiten auferlegt worden. Grund: der Bund für Umwelt- und Naturschutz hatte im Laufe des Donnerstags beim Stuttgarter Verwaltungsgericht eine einstweilige Anordnung wegen Verstößen gegen den Artenschutz beantragt. Hoffnung keimt auf bei den Protestierern. Doch eine offizielle Bestätigung gibt es nicht. Für 25 Bäume, die Stunden zuvor abgeholzt worden sind, ist es da aber bereits zu spät. Viele der nächtlichen Demonstranten sind tief frustriert von den Geschehnissen am Donnerstag. Sie lassen ihrer Wut freien Lauf. Jedes Mal, wenn die Polizisten ihre Schicht wechseln, werden sie als ""Kinderschläger"" beschimpft. Andere Protestierer berichten von einem ""wild um sich prügelnden"" Polizisten - eine Szene, die auch der evangelische Stadtdekan Hans-Peter Ehrlich beobachtet hat. Sein Versuch, zur Deeskalation beizutragen, scheiterte kläglich. ""Mir wurde das Gespräch mit der Einsatzleitung verwehrt"", empört sich der Geistliche in die nächtliche Ruhe hinein. Ernüchtert ist auch die Augenärztin Christiane Knop, die als Demonstrantin in den Schlossgarten gekommen war und plötzlich als Ersthelferin ran musste. Sie spülte etlichen Verletzten das Pfefferspray aus den Augen - stundenlang. Motorsägen heulen auf, große Bagger greifen nach den Ästen, die in einen Häcksler gefüllt und schnell zerkleinert werden. Trillerpfeifen und Vuvuzelas ertönen, rund 2500 Demonstranten rufen immer wieder: ""Baummörder!"" Eine Gruppe fordert lautstark: ""Mappus in den Schredder!"" Die letzte Musikgruppe spielt einen Totenmarsch, ein Akkordeonspieler stimmt ""Mein Freund, der Baum, ist tot"" an. Als Sägen und Bagger an die größte Platane gehen, versucht eine Gruppe von Demonstranten, den Bauzaun zu durchbrechen - vergeblich. Gegen die Polizeimauer haben sie keine Chance. Am Freitagmorgen wird eine große Platane zersägt und geschreddert. Gewaltiger Protest: im Schlossgarten versammeln sich die S-21-Gegner. Foto: Zweygarth Momente der Ruhe in einer aufgewühlten Nacht: Demonstranten haben ein Friedenszeichen aus Kerzen geformt. Fotos: dpa, factum/Granville, Heiss"
13,"Leipziger Volkszeitung","irrelevant",2015,"LEIPZV0020151120ebbd000e4 Leipziger Volkszeitung 13 November 2015 Streit um Kiesgrube Kleinpösna hält an; Stadt legt Stellungnahme vor / Betreiber-Unternehmen rückt von Zusagen ab Der Streit um die Weiterführung des Kiessand-tagebaus in Kleinpösna geht in eineneue Runde. In dem Dokument macht die Stadtverwaltung erhebliche Bedenken gegen die Zulassung des Rahmenbetriebsplanes zum Sandabbau für die nächsten 30 Jahre geltend. ""Wir begrüßen es, dass unsere Forderungen Eingang in die Stellungnahme der Kommune gefunden haben"", betonte Ortsvorsteherin Annemarie Opitz (Bürgerinitiative pro Engelsdorf). Dies betreffe vor allem längst fällige Rekultivierungsmaßnahmen an den bisherigen Abbaufeldern und Böschungen, die dringende Sanierung der Kiesgrubenstraße sowie des Leipzig-Elbe-Radweges."
14,"Leipziger Volkszeitung","relevant",2015,"LEIPZV0020150717eb7h0002p Leipziger Volkszeitung 17 Juli 2015 Griechen-Hilfe: So stimmt Leipzig heute ab; Drei Abgeordnete votieren wohl mit ja, einer wird fehlen Von Klaus Staeubert Der Bundestag stimmt heute über die Griechenland-Rettung ab. Vor einer Sondersitzung ihrer Fraktion wollte sie ihr Votum allerdings nicht festlegen. Die Leipziger Linke will sich heute einer Protestaktion des Friedenszentrums gegen die Spar- und Reformauflagen an Griechenland anschließen (17 Uhr, Petersstraße 12). Thomas Feist (CDU) Bettina Kudla (CDU) Daniela Kolbe (SPD) Monika Lazar (Grüne)"
