Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
Einzelperson,Haltet Euer Versprechen! - Für eine glaubhafte Schulpolitik in Erfurt,Freifläche vor Thüringenhalle,2021-07-14 00:00:00,16:00 - 17:30 Uhr,2021
Bündnis Solidarisches Thüringen ABGESAGT !!,Neuwahlen jetzt!,"Jürgen-Fuchs-Straße 1, 99096 Erfurt",2021-07-19 00:00:00,09.00 - 16.00 Uhr,2021
DGB Thüringen,die Realität der Saisonbeschäftigten in der Thüringer Landwirtschaft,Neuwerkstraße / Hirschlachufer,2021-07-15 00:00:00,14.00 - 17.30 Uhr,2021
Klimacamp Erfurt,Klimaprotestcamp - Bürgerbeteiligung beim Klimaschutzkonzept ernst nehmen. Damit Erfurt nicht weiter bei Klimafragen schläft!,Fischmarkt,2021-07-30 00:00:00,ganztätig,2021
Neue Stärke ,Erfurt bleibt Deutsch - Unsere Stadt hat Kommunisten satt!,Schillerstraße,2021-07-17 00:00:00,14.00 - 15.30 Uhr,2021
Neue Stärke,Erfurt bleibt Deutsch - Unsere Stadt hat Kommunisten satt!,Pilse,2021-07-17 00:00:00,16.00 - 17.30 Uhr,2021
Ahmadiyya Muslim Jamaat KdöR,Muslime gegen Rassismus / Liebe für Alle Hass für Keinen,vor Anger 1,2021-07-17 00:00:00,14.00 - 18.00 Uhr,2021
ver.di Thüringen,Ohne uns kein Geschäft - Für bessere Tarife im Einzel- und Versandhandel,Aufzug Innenstadt,2021-07-22 00:00:00,10.00 - 12.30 Uhr,2021
Bündnis für Klimagerechtigkeit Erfurt,Globaler Klimastreiktag,Domplatz,2021-09-24 00:00:00,12.00 - 16.00 Uhr,2021
Jesidische Gemeinschaft e.V. in Thüringen,Yesidischer Gedenktag,Angerdreieck,2021-08-03 00:00:00,13.00 - 18.00 Uhr,2021
Einzelperson,Protest gegen die Radikalischen islamischen Bewegungen vom Iran,Anger,2021-08-03 00:00:00,18.00 - 19.00 Uhr,2021
Coronainfo Tour,Coronainfo,Domplatz,2021-07-25 00:00:00,11.00 - 13.00 Uhr,2021
